iter	Passed	Remaining
0	0	842
1	1	671
2	1	628
3	2	601
4	2	579
5	3	561
6	3	546
7	4	543
8	4	544
9	5	542
10	6	541
11	6	542
12	7	542
13	7	541
14	8	535
15	8	530
16	9	525
17	9	522
18	10	519
19	10	519
20	11	517
21	11	515
22	12	513
23	12	510
24	13	509
25	13	507
26	13	504
27	14	503
28	14	501
29	15	498
30	15	495
31	16	494
32	16	493
33	17	491
34	17	491
35	18	489
36	18	487
37	19	486
38	19	487
39	20	486
40	20	487
41	21	486
42	21	485
43	22	484
44	22	483
45	23	482
46	23	481
47	24	480
48	24	479
49	25	479
50	25	478
51	26	477
52	26	477
53	27	477
54	27	476
55	28	475
56	28	475
57	29	473
58	29	472
59	30	471
60	30	471
61	31	470
62	31	469
63	32	468
64	32	467
65	32	466
66	33	467
67	34	466
68	34	467
69	35	466
70	35	466
71	36	466
72	36	466
73	37	465
74	37	464
75	38	465
76	38	466
77	39	465
78	39	465
79	40	465
80	40	464
81	41	464
82	41	461
83	42	460
84	42	459
85	43	458
86	43	457
87	44	457
88	44	457
89	45	456
90	45	455
91	46	454
92	46	454
93	47	453
94	47	452
95	47	451
96	48	450
97	48	449
98	49	449
99	49	448
100	50	448
101	50	447
102	51	447
103	51	447
104	52	447
105	53	447
106	53	446
107	53	445
108	54	445
109	54	444
110	55	443
111	55	443
112	56	442
113	56	441
114	57	440
115	57	439
116	58	438
117	58	437
118	58	436
119	59	435
120	59	435
121	60	433
122	60	433
123	61	432
124	61	431
125	62	431
126	62	429
127	62	428
128	63	428
129	63	427
130	64	426
131	64	426
132	65	425
133	65	425
134	66	424
135	66	423
136	67	422
137	67	421
138	67	420
139	68	419
140	68	418
141	69	417
142	69	416
143	69	415
144	70	414
145	70	413
146	71	413
147	71	412
148	72	411
149	72	410
150	72	409
151	73	408
152	73	408
153	74	407
154	74	406
155	75	406
156	75	405
157	75	404
158	76	403
159	76	402
160	76	401
161	77	400
162	77	399
163	78	398
164	78	397
165	79	397
166	79	397
167	80	397
168	80	396
169	81	396
170	81	396
171	82	395
172	82	394
173	83	394
174	83	393
175	83	392
176	84	392
177	84	391
178	85	390
179	85	389
180	85	388
181	86	388
182	86	387
183	87	386
184	87	386
185	88	385
186	88	384
187	88	384
188	89	383
189	89	382
190	90	381
191	90	381
192	91	380
193	91	379
194	91	379
195	92	378
196	92	377
197	93	376
198	93	376
199	93	375
200	94	375
201	94	375
202	95	374
203	96	374
204	96	374
205	97	374
206	97	374
207	98	374
208	98	373
209	99	373
210	99	372
211	100	371
212	100	371
213	100	370
214	101	370
215	101	369
216	102	368
217	102	367
218	103	367
219	103	366
220	103	365
221	104	365
222	104	364
223	105	364
224	105	363
225	105	362
226	106	362
227	106	361
228	107	361
229	107	360
230	108	359
231	108	359
232	108	358
233	109	357
234	109	357
235	110	357
236	110	356
237	111	355
238	111	355
239	111	354
240	112	353
241	112	353
242	113	352
243	113	352
244	114	351
245	114	350
246	114	350
247	115	349
248	115	348
249	116	348
250	116	347
251	116	347
252	117	346
253	117	345
254	118	345
255	118	344
256	118	343
257	119	343
258	119	342
259	120	342
260	120	341
261	121	341
262	121	340
263	121	339
264	122	339
265	122	338
266	123	338
267	123	337
268	123	336
269	124	336
270	124	335
271	125	335
272	125	335
273	126	334
274	126	334
275	127	333
276	127	333
277	128	333
278	128	332
279	129	332
280	129	332
281	130	331
282	130	330
283	131	330
284	131	329
285	131	329
286	132	328
287	132	328
288	133	327
289	133	326
290	133	326
291	134	325
292	134	325
293	135	324
294	135	324
295	136	323
296	136	323
297	136	322
298	137	321
299	137	321
300	138	320
301	138	320
302	138	319
303	139	319
304	139	318
305	140	318
306	140	318
307	141	318
308	142	318
309	142	317
310	143	316
311	143	316
312	143	315
313	144	315
314	144	314
315	145	314
316	145	313
317	146	313
318	146	313
319	147	312
320	147	312
321	147	311
322	148	310
323	148	310
324	149	309
325	149	309
326	150	308
327	150	308
328	150	307
329	151	307
330	151	306
331	152	306
332	152	305
333	153	305
334	153	304
335	153	304
336	154	303
337	154	302
338	155	303
339	156	302
340	156	302
341	156	301
342	157	301
343	157	301
344	158	300
345	158	300
346	159	299
347	159	299
348	160	298
349	160	298
350	161	297
351	161	297
352	162	297
353	162	297
354	163	296
355	163	296
356	164	295
357	164	295
358	165	294
359	165	294
360	166	294
361	166	293
362	167	293
363	167	292
364	167	292
365	168	291
366	168	291
367	169	291
368	170	290
369	170	290
370	171	290
371	171	289
372	172	289
373	172	288
374	173	288
375	173	288
376	173	287
377	174	287
378	174	286
379	175	286
380	175	285
381	176	285
382	176	284
383	177	284
384	177	283
385	178	283
386	178	283
387	179	282
388	179	281
389	179	281
390	180	280
391	180	280
392	181	279
393	181	279
394	182	278
395	182	278
396	182	277
397	183	277
398	183	276
399	184	276
400	184	275
401	185	275
402	185	274
403	185	274
404	186	273
405	186	273
406	187	273
407	187	272
408	188	272
409	188	271
410	189	271
411	189	270
412	190	270
413	190	269
414	191	269
415	192	269
416	192	269
417	193	269
418	193	268
419	194	268
420	194	268
421	195	267
422	196	267
423	196	267
424	197	266
425	197	266
426	198	265
427	198	265
428	198	264
429	199	264
430	199	263
431	200	263
432	200	262
433	201	262
434	201	261
435	202	261
436	202	261
437	203	260
438	203	260
439	204	260
440	205	259
441	205	259
442	206	259
443	206	258
444	207	258
445	207	257
446	208	257
447	208	256
448	208	256
449	209	255
450	209	255
451	210	254
452	210	254
453	210	253
454	211	253
455	211	252
456	212	252
457	213	252
458	213	251
459	214	251
460	214	250
461	215	250
462	215	249
463	215	249
464	216	249
465	217	248
466	217	248
467	218	247
468	218	247
469	219	247
470	219	246
471	220	246
472	220	246
473	221	245
474	221	244
475	222	244
476	222	243
477	222	243
478	223	242
479	223	242
480	224	241
481	224	241
482	224	240
483	225	240
484	225	239
485	226	239
486	226	238
487	227	238
488	227	237
489	227	237
490	228	236
491	228	236
492	229	235
493	229	235
494	229	234
495	230	234
496	230	233
497	231	233
498	231	232
499	232	232
500	232	232
501	233	231
502	233	231
503	234	230
504	234	230
505	235	229
506	235	229
507	236	228
508	236	228
509	237	227
510	237	227
511	237	226
512	238	226
513	238	225
514	239	225
515	239	224
516	239	224
517	240	223
518	240	223
519	241	222
520	241	222
521	241	221
522	242	221
523	242	220
524	243	220
525	243	219
526	244	219
527	244	218
528	244	217
529	245	217
530	245	217
531	246	216
532	246	216
533	247	215
534	247	215
535	248	214
536	248	214
537	249	213
538	249	213
539	250	213
540	250	212
541	251	212
542	251	211
543	251	211
544	252	210
545	252	210
546	253	209
547	253	209
548	253	208
549	254	208
550	254	207
551	255	207
552	255	206
553	256	206
554	256	205
555	256	205
556	257	204
557	257	204
558	258	203
559	258	203
560	259	202
561	259	202
562	259	201
563	260	201
564	260	200
565	261	200
566	261	200
567	262	199
568	262	199
569	263	198
570	263	198
571	264	197
572	264	197
573	265	196
574	265	196
575	265	195
576	266	195
577	266	194
578	267	194
579	267	193
580	268	193
581	268	192
582	268	192
583	269	191
584	269	191
585	270	190
586	270	190
587	270	189
588	271	189
589	271	188
590	272	188
591	272	187
592	273	187
593	273	186
594	273	186
595	274	185
596	274	185
597	275	185
598	275	184
599	276	184
600	276	183
601	277	183
602	277	182
603	278	182
604	278	181
605	279	181
606	279	180
607	279	180
608	280	179
609	280	179
610	281	178
611	281	178
612	281	178
613	282	177
614	282	177
615	283	176
616	283	176
617	284	175
618	284	175
619	284	174
620	285	174
621	285	173
622	286	173
623	286	172
624	287	172
625	287	171
626	287	171
627	288	170
628	288	170
629	289	169
630	289	169
631	290	168
632	290	168
633	291	168
634	291	167
635	291	167
636	292	166
637	293	166
638	293	165
639	293	165
640	294	164
641	294	164
642	295	163
643	295	163
644	296	163
645	296	162
646	297	162
647	297	161
648	297	161
649	298	160
650	298	160
651	299	159
652	299	159
653	299	158
654	300	158
655	300	157
656	301	157
657	301	156
658	302	156
659	302	155
660	302	155
661	303	154
662	303	154
663	304	153
664	304	153
665	304	152
666	305	152
667	305	151
668	306	151
669	306	151
670	307	150
671	307	150
672	308	149
673	308	149
674	309	148
675	309	148
676	310	148
677	310	147
678	311	147
679	311	146
680	311	146
681	312	145
682	312	145
683	313	144
684	313	144
685	314	143
686	314	143
687	314	142
688	315	142
689	315	141
690	316	141
691	316	140
692	317	140
693	317	140
694	318	139
695	318	139
696	319	138
697	319	138
698	319	137
699	320	137
700	320	136
701	321	136
702	321	135
703	321	135
704	322	135
705	323	134
706	323	134
707	324	133
708	324	133
709	325	132
710	325	132
711	325	131
712	326	131
713	326	130
714	327	130
715	327	129
716	328	129
717	328	129
718	329	128
719	329	128
720	329	127
721	330	127
722	330	126
723	331	126
724	331	125
725	332	125
726	332	124
727	332	124
728	333	123
729	333	123
730	334	123
731	334	122
732	335	122
733	335	121
734	335	121
735	336	120
736	336	120
737	337	119
738	337	119
739	338	118
740	338	118
741	339	118
742	339	117
743	340	117
744	340	116
745	341	116
746	341	115
747	342	115
748	342	114
749	343	114
750	343	113
751	343	113
752	344	112
753	344	112
754	345	112
755	345	111
756	346	111
757	346	110
758	346	110
759	347	109
760	347	109
761	348	108
762	348	108
763	349	107
764	349	107
765	349	106
766	350	106
767	350	105
768	351	105
769	351	105
770	352	104
771	352	104
772	353	103
773	353	103
774	354	102
775	354	102
776	355	101
777	355	101
778	356	101
779	356	100
780	357	100
781	357	99
782	358	99
783	358	98
784	358	98
785	359	97
786	359	97
787	360	96
788	360	96
789	361	95
790	361	95
791	361	95
792	362	94
793	362	94
794	363	93
795	363	93
796	364	92
797	364	92
798	364	91
799	365	91
800	365	90
801	366	90
802	366	89
803	366	89
804	367	88
805	367	88
806	368	88
807	368	87
808	369	87
809	369	86
810	370	86
811	371	85
812	371	85
813	372	85
814	372	84
815	372	84
816	373	83
817	373	83
818	374	82
819	374	82
820	375	81
821	375	81
822	375	80
823	376	80
824	376	79
825	377	79
826	377	78
827	377	78
828	378	78
829	378	77
830	379	77
831	379	76
832	380	76
833	380	75
834	380	75
835	381	74
836	381	74
837	382	73
838	382	73
839	383	73
840	384	72
841	384	72
842	385	71
843	386	71
844	386	70
845	387	70
846	387	70
847	388	69
848	388	69
849	389	68
850	389	68
851	389	67
852	390	67
853	390	66
854	391	66
855	391	65
856	392	65
857	392	64
858	392	64
859	393	64
860	393	63
861	394	63
862	394	62
863	395	62
864	395	61
865	395	61
866	396	60
867	396	60
868	397	59
869	397	59
870	397	58
871	398	58
872	398	58
873	399	57
874	399	57
875	400	56
876	401	56
877	401	55
878	402	55
879	402	54
880	402	54
881	403	53
882	403	53
883	404	53
884	404	52
885	404	52
886	405	51
887	405	51
888	406	50
889	406	50
890	407	49
891	407	49
892	408	48
893	408	48
894	408	47
895	409	47
896	409	47
897	410	46
898	410	46
899	410	45
900	411	45
901	411	44
902	412	44
903	412	43
904	413	43
905	413	42
906	414	42
907	414	42
908	415	41
909	415	41
910	416	40
911	416	40
912	417	39
913	417	39
914	418	38
915	418	38
916	418	37
917	419	37
918	419	37
919	420	36
920	420	36
921	421	35
922	421	35
923	421	34
924	422	34
925	422	33
926	423	33
927	423	32
928	424	32
929	424	31
930	424	31
931	425	31
932	425	30
933	426	30
934	426	29
935	426	29
936	427	28
937	427	28
938	428	27
939	428	27
940	429	26
941	429	26
942	430	26
943	430	25
944	431	25
945	431	24
946	432	24
947	432	23
948	433	23
949	433	22
950	434	22
951	434	21
952	434	21
953	435	20
954	435	20
955	436	20
956	436	19
957	437	19
958	437	18
959	437	18
960	438	17
961	438	17
962	439	16
963	439	16
964	439	15
965	440	15
966	440	15
967	441	14
968	441	14
969	441	13
970	442	13
971	442	12
972	443	12
973	443	11
974	444	11
975	444	10
976	445	10
977	445	10
978	446	9
979	446	9
980	447	8
981	447	8
982	448	7
983	448	7
984	449	6
985	449	6
986	449	5
987	450	5
988	450	5
989	451	4
990	451	4
991	451	3
992	452	3
993	452	2
994	453	2
995	453	1
996	454	1
997	454	0
998	454	0
999	455	0
